facility name,physical address,city
Gazaland Medical Centre,32566 Phase 6 Eastview Extension,Harare
Gc Pharmacy,16 Leopold Takawira Street,Masvingo
Gcc Pharmacy (Private)Limited,383 Engineeringhighfieldmachipisa,Harare
Gem-Health Pharmacy,21512Kuwadzana 2 Shopping Centre,Harare
Genau Pathology Laboratories,52 Baines Avenue,Harare
Genau Pathology Laboratories,Lot 1Stand 43A Comet Rise,Harare
Genau Pathology Laboratories - Bulawayo,7A9Th Avenue,Bulawayo
Genau Pathology Laboratories - Chitungwiza,Stand 19331Zengeza 4,Chitungwiza
Genau Pathology Laboratories - Gweru,662Nd Street,Gweru
Genau Pathology Laboratories - Marondera,22 Fourth Street,Marondera
Genau Pathology Laboratories - R.G Mugabe Airport,Robert Mugabe International Airport,Harare
Genau Pathology Laboratories-Masvingo,387R.G.Mugabe Way,Masvingo
Genau Pathology Laboratories-Southerton,31Lobengula Road Southerton,Harare
Generation Health Clinic,"4Th Floor, Medical Chambers, 60 Baines Avenue",Harare
Generation Medical Centre,Stand 377Chivi Growth Point,Chivi
Generation Medical Centre - Nyika,Stand C2050,Masvingo
Genesis Pharmacy,12637Phase 3Kuwadzana,Harare
Genetics Medical Laboratory,2Nd Floormoonlight Complex5 Street,Gweru
Genomix Medical Centre Laboratory,66 Rezende Street,Harare
Genopath Clinical Laboratories,77 Sam Nujoma Street,Harare
Genopath Private Limited,77 Sam Mujoma Street,Harare
Gentle Hearts Family Clinic,31 Central Avenue,Harare
Gents Health Centre,8 Mcchlery Avenueeastlea,Harare
Geomon Laboratories,Number 1 Wingston Court 67,Bulawayo
Getlife Pharmacy-Marondera,32Oak Street,Marondera
Getway Pharmacy,1487 Rutenga,Masvingo
Getwell Pharmacy,7098Westlea Shopswestlea,Harare
Gibmazi Medical Laboratory,"335B Way, Masotsha Ndhlovuwaterfalls",Harare
Gif Medical Centre,87-89 Kwame Nkrumah Avenue,Harare
Gifted Hands 24 Hr Clinic,19 Baker Street,Kadoma
Gifted Hands Medical Clinic,1Ross Avenuebelgravia,Harare
Gilun Clinic,1476 Mkoba 3,Gweru
Gioren Family Clinic,"Starlight House Suite 7Stand 53-54, 3Rd Street",Gweru
Glaudina Health Services,111 Phase 2 Glaudina,Zvimba
Glaudina Medical Centre,95 Marwede Road,Harare
Glaudina Medical Centre And Maternity,1069 Marwedeglaudina,Zvimba
Glaudina Pharmacy,95 Marwede Roadglaudina,Harare
Glen Norah A Medical Clinic,Stand 8673,Harare
Glen Norah A Surgery - Karaga,7055 Glen Norah A Chitubu S/C,Harare
Glen Norah Life Care Clinic,7079 Spaceman Shops Glen Norah A,Harare
Glen View 3 Surgery,4529 15Th Streetglenview 3,Harare
Glen View Maternity Home & Clinic,6703 97 Crescent Glen View 8,Harare
Glen View Medical & Radiology Centre,9515 Tichagarika Shopping Centre,Harare
Glenara Medical Centre,70 Glenara Avenuehighlands,Harare
Glendale 24 Hr Health Centre,194 Tony Mccall Roadold Valley,Glendale
Glendale Health Centre,Stand 86 Glendale Health Centre Glendale Industrial Area,Glendale
Glendale Health Centre - Glendale,Stand Number 86,Glendale
Glenkara Surgery,Stand 7643Manemo Shopping Centrenkulumane,Bulawayo
Glenview 1 Pharmacy,Stand 4163 Glenview,Harare
Glenview 3 Dental Plaza,P.O Box Gv 16Glenview 3 Shops,Harare
Glenview 7 Medical Centre,10796 Glenview 7 Township,Harare
Glenview Dental Surgery,Tichagarika Shopping Centre9515Glenview 8,Harare
Glenview Medical And Dental Centre,9515Glenview 8Tichagarika Centre,Harare
Glenwood Medical Centre,10196 Glenwood Parkepworth,Harare
Glidant Pharmacy,5768 Chipadze Bus Terminus,Bindura
Global Pharmacy,Shop 29 Mukwati Street,Kadoma
Global Pharmacy - Southlea Park,119 Nice Day Business Centre,Harare
Global Pharmacy Lusaka,7328 Lusaka,Harare
Gloria Dental Care Clinic,Stand Number 18 Harris Street,Karoi
Glorimed Pharmacy,Stand 2463 Kambuzuma 5 Shops,Harare
Glovanni Spagnolli Centre,12Church Drivemalborough,Harare
Glow Dental Studio,227 Fife Avenue,Harare
Gm Diagnostic X-Ray Centre,8766Midlands Pvt Hospital Grymkhana Grounds,Gweru
Gm Diagnostics- Mater Dei Hospital Mri,3770 Burns Drivemalindela,Bulawayo
Gmh Care Clinic,"105 Nelson Mandela Ave, Btwn 4Th And 5Th Street",Harare
Gokomere Mission Clinic,Gokomere Clinicp.Bag 9213,Masvingo
Gokwe Medical Centre,4137Gokwe Centre,Gokwe
Gokwe Medical Imaging,Junior Complex Stand1090A,Gokwe
Gokwe Pharmacy,135 Gokwe Centre,Gokwe
Gokwe Rdc-Mateta Rural Health Center,Mateta Rural Health Centerbox 55,Gokwe
Gokwe South District Hospital,P.O.Box 55,Gokwe
Gokwe South Rdc-Chemahororo Clinic,Muchengi Village,Gokwe
Gokwe South Rdc-Chitave Clinic,Sai Ward 1,Gokwe
Gokwe South Rdc-Gawa Clinic,Nyengetedzai Kraal Village,Gokwe
Gokwe South Rdc-Gwanika Rural Health Center,Gwanika Rural Health Centrebox 55,Gokwe
Gokwe South Rdc-Huchu Clinic,Dhokotera Village,Gokwe
Gokwe South Rdc-Jahana Clinic,Mafunga,Gokwe
Gokwe South Rdc-Jiri-Ndoza Rhc,Ward 21 Village,Gokwe
Gokwe South Rdc-Krima Clinic,Chisima Ward 3 Village,Gokwe
Gokwe South Rdc-Masuka Clinic,Masukaward 8,Gokwe
Gokwe South Rdc-Mateme Rhc,Mateme Sda Clinic,Gweru
Gokwe South Rdc-Mkoka Rural Health Center,Village Mkokaward 26,Gokwe
Gokwe South Rdc-Msala Clinic,Msala Clinic P.Bag 6226,Gokwe
Gokwe South Rdc-Musita Clinic,Nemangwe 5Ward 10,Gokwe
Gokwe South Rdc-Sai Clinic,Madubeko Vill Ward 4,Gokwe
Gokwe South Rdc-Tongwe Clinic,Murandu Tongweward 2,Gokwe
Gokwe South Rdc-Zhamba Rural Health Center,P.Bag 6084,Gokwe
Gold Class Pharmacy,No 10767Cnr Highglen Road/Mainstreethighfield,Harare
Goldclass Pharmacy,B64Chilonga Drive,Chiredzi
Golden Valley Mine Clinic,20Km Peg Chakari Road,Kadoma
Goldenquarry Mine Clinic,Magakoosha Estatelink Road,Shurugwi
Goldenview Pharmacy,18886Wenham Closeborrowdale,Harare
Goldfields Of Shamva Mine Clinic,Number 2 Richlands Road,Shamva
Goldspring Health,32 Josiah Tongogaramilton Park,Harare
Goldstar Sugar Clinic,No. 49 Douglas Road Workington,Harare
Goldstar Sugars Clinic,Number 49 Douglas Road,Harare
Gonda 24Hr Medical Clinic,155 Chinhoyi Streetlapf - House,Harare
Gonda Surgery,110 Leopld Takawira Avenueharare,Harare
Gonda Surgery,146 Chinhoyi Street,Harare
Gondongwe Consultation Rooms,147 Fife Avenue,Harare
Good Samaritan Medical Centre,Itafa Farmchakari Road,Kadoma
Good Samaritan Medical Centre Laboratory,Itafa Farmchakari Road,Kadoma
Good Samaritan Sanyati Pharmacy,1989 Arda Township,Sanyati
Good Sheperd Pharmacy,6 Collin Street,Kadoma
Good Shephard Pharmacy,260Commercial Street,Chinhoyi
Good Shephard Pharmacy-Kariba,494/495Carobeck Complexmahombekombe,Kariba
Good Shephard Pharmacy-Kariba,3342Teebox Complexnyamhunga,Kariba
Good Sower Pharmacy,Shop 1116 Murisa Shopping Centreziko,Seke
Goodhope Dental Surgery,5 Baines Ave,Harare
Goodhope Pharmacy,23 Jason Moyo,Harare
Goodtrack Dental Clinic,686 Simon Mazorodzehopley,Harare
Goodtrack P/L Clinic,686Simon Mazorodze Hopley,Harare
Gopath Clinical Laboratories,Stand Number 16128Suite 1Seke North Mall B,Chitungwiza
Gopath Clinical Laboratories,No. 51 Fourth Street,Mutare
Gopath Clinical Laboratories,38 Baines Avenue,Harare
Gopath Clinical Laboratories - Vic Falls,Suite Number 6 321 Galleria Building,Victoria Falls
Goromonzi Rdc-Bromley Clinic,Bromley Farmbromley Ward,Ruwa
Goromonzi Rdc-Chinhamora Clinic,Chinhamora Clinicbox 95,Ruwa
Goromonzi Rdc-Chinyika Clinic,Chinyika Communal Landschinyika Ward,Ruwa
Goromonzi Rdc-Cranborne Clinic,Box 95Box 95,Ruwa
Goromonzi Rdc-Henry John Reimer Clinic,Box 95Box 95,Ruwa
Goromonzi Rdc-J.Rakin Clinic,Box 75Box 95,Ruwa
Goromonzi Rdc-Kowoyo Clinic,Juru Communal Ladschikwaka-Gutu Ward,Ruwa
Goromonzi Rdc-Kubatsirana Clinic,Chinyika Communal Landschinyika Wardbox 95,Ruwa
Goromonzi Rdc-Masikadoro Clinic,Munyawiri Wardbox 95,Ruwa
Goromonzi Rdc-Nyaure Clinic,Shumba Wardbox 95,Ruwa
Goromonzi Rdc-Pote Clinic,Pote Wardbox 95,Ruwa
Goromonzi Rdc-Rusike Clinic,Rusike Clinicbox 8,Ruwa
Goromonzi Rdc-Ruwa Clinic,Ruwa Clinicbox 95,Ruwa
Goromonzi Rdc-Ruwa Clinic,Ruwa Clinic,Ruwa
Goshen Life Pharmacy,65Alexander Avenue,Chegutu
Goshen Pharmacy -Chinhoyi,"Shop 9, Stand 12 Chinhoyi Township",Chinhoyi
Grace Care Surgery,33 Mahusekwa Growth Point,Mahusekwa
Grace Life Clinic,Muzezuru School,Mudzi
Grace Medical Surgery,146 Kwame Nkrumah,Harare
Grace Mugabe Foundation Clinic,34Km Peg Along Mazowe Road,Mazowe
Grace Scientific Laboratory,154Moodies Street,Chipinge
Grace Surgery,8786St Mary'S,Chitungwiza
Gracechem Pharmacy,8221Cowie Roadcold Comfort,Harare
Gracechem Pharmacy,Stand Number 7098 Westlea Shopping Centre,Harare
Gracechem Pharmacy- Norton,Stand Number 30436Knowe,Norton
Graceland Polyclinic,30 Harris Street,Karoi
Gracemed Surgery,733 Msasa Drive,Chiredzi
Graceplus Pharmacy,93 B Farchis Building,Guruve
Graceplus Pharmacy-Nehanda,96 Mbuya Nehanda,Harare
Graceplus Surgery Guruve,93B Farchig Building,Guruve
Gracious Pharmacy,Stand Number 3003A Domboramwari Epworth,Harare
Granary Medical Center,4121Phase 4Granary Shopping Center,Harare
Grandchem Pharmacy,Stand 9312St Mary'S,Chitungwiza
Grandchem Pharmacy Private Limited,"Stand 19277, Shop 2 Sunningdale 2 Shops",Harare
Grandpak Pharmacy - Aerodrome,7869 Aerodrome Centre,Bindura
Grandpak Pharmacy-Chiwaridzo,5105Chiwaridzo Progress Shops,Bindura
Graniteside Chemicals,26 Crispps Roadgraniteside,Harare
Grayhurst Building - Dr Manyame,Suite 8Grayhurst Building102,Harare
Greaterlife Medical Centre,1737 Budiriro 1 Shops,Harare
Greaterlife Medical Centre & Men'S Clinic,7512,Harare
Green Acres Nursing & Retirement Home,Number 45 Airport Roadkingsdale,Bulawayo
Green Cross Pharmacy,76 Cnr Main Street Second Street,Bindura
Greencroft Pharmacy,Shop 5 Colesbury Poradeavonlea,Harare
Greendale Pharmacy,36Rhodesvile Avenuegreendale,Harare
Greengrove Elite Pharmacy,151B Chinhoyi Street,Harare
Greenheart Pharmacy,Private Bag 3005Renco,Masvingo
Greensview Pharmacy - Wedza,Stand 116 Mukosi Buildingwedza Business Centre,Wedza
Greensville Pharmacy,Shop1-12A Herbert Chitepo Street,Rusape
Greenview Pharmacy - Marondera,37 Pine Streetthe Green Marondera,Marondera
Greenview Pharmacy - Rusape,Shop 112 Herbert Chitepo Street,Rusape
Greenwalls Pharmacy,5570 Budiriro 5B Shopping Centre,Harare
Greenwood Park Eye Centre,175 Fife Avenue Cnr Eighth Street,Harare
Greenwood Pharmacy,Shop Number 19 Chitungwiza Town Centre,Chitungwiza
Greenwood Pharmacy,"Grayhurst Building, 102 N. Mandela Avenue / 4Th Street",Harare
Greenwood Pharmacy - Fife Avenue,143 Fife Avenuecnr Fife Avenue And Fifth Street,Harare
Greenwood Pharmacy - Kwekwe,"Shop 7, First Mutual Complex",Kwekwe
Greenwood Pharmacy - Leopold Takawira,89C Leopold Takawira Street,Harare
Greenwood Pharmacy - Market Square,91 Harare Street,Harare
Greenwood Pharmacy - Masvingo,26 Hofmeyer Simon Muzenda Street,Masvingo
Greenwood Pharmacy - Mutare,39 Herbert Chitepo Street,Mutare
Greenwood Pharmacy - Mutare,Stand 458A Meikles Buildingherbert Chitepo Street,Mutare
Greenwood Pharmacy - Parkstreet,"22 Park Street, Cbd, Harare",Harare
Greenwood Pharmacy Angwa,"Shop Number 2 & 3, 243 Angwa Street",Harare
Greenwood Pharmacy Bulawayo,"7 Princess Court, Fort Street",Bulawayo
Greenwood Pharmacy Gweru,"Shop 3 Bahadur Centre, Main Street",Gweru
Greenwood Pharmacy Kamfinsa,Shop 6George Square Kamfinsa Shops,Harare
Greenwood Pharmacy-Park Street,Shop 5&6Hughes House22 Park Street,Harare
Greenwood Wholesalers,"3 Venture House, 97 George Silundika Street, Between 9-10Th Avenue",Bulawayo
Greenwood Wholesalers - Masvingo,26 Hofmeyer Street,Masvingo
Greenwood Wholesalers -Harare,58 Craster Road,Harare
Grey Pharmacy,Shop 6 Vaudeville Building70 A H. Chitepo Street,Mutare
Grey Pharmacy Downtown,"Shop B Oasis Mall, 12 Herbert Chitepo Street",Mutare
Grey Pharmacy Motomoto,Shop C5 Lito Mall 60 Hebert Chitepo Street,Mutare
Grey Pharmacy-Uptown,Shop 5 Fidelity Building,Mutare
Grey'S Medical Clinic,"5744 Warren Park D, Mereki Shops",Harare
Greystone Park Pharmacy,"226 Carrick Craegh Road, Quinnington",Harare
Greystreet Pharmacy,36 Grey Street,Chegutu
Guardian Pharmacy,60 George Silundika,Harare
Guardian Pharmacy,1102Cornmarket,Norton
Guardian Pharmacy,65Rezende Street,Harare
Guardian Pharmacy - Norton,K2115 Katanga Twnship,Norton
Guardian Pharmacy - Zvishavane,2303Mandavaalong Masvingo Road,Zvishavane
Guiding Star Pharmacy,Nda 169 Ndanga Business Centre,Zaka
Guinea Fowl Medical Centre-Hospital Emmanuel,647Guinea Fowl Road,Chiredzi
Gulf Drug Company (Pvt) Ltd,Unit 44 Warren Industrial Centrenew Adbennie,Harare
Gunhill Medical Village,145 Borrowdale Rd Gunhill,Harare
Gunhill Medical Village,145Borrowdale Roadgunhill,Harare
Gunhill Pharmacy,128 Churchill Avenuegunhill,Harare
Gunhill Private Clinic,Stand 40885Th Streetdzivarasekwa,Harare
Guni Memorial Clinic,Muvunde Village,Gutu
Guruve Medical Centre,18Mhishi Complex,Guruve
Guruve Pharmacy,Stand Number 1600 Msikwi Complex,Guruve
Guruve Rdc-Bepura Clinic,Mdindo Business Centre,Guruve
Guruve Rdc-Bvochora Rural Health Centre,Bvochora Wardp.O.Box 110,Guruve
Guruve Rdc-Chipuriro Clinic,Chipuriro Clinicguruve District Council,Guruve
Guruve Rdc-Guruve Hospital,Guruve Service Centrep.O.Box 5,Guruve
Guruve Rdc-Masomo Rural Health Centre,Masomo Wardp.O.Box 5,Guruve
Guruve Rdc-Mushumbi Rural Health Centre,Musumbi Poolsp.O.Box 5,Guruve
Guruve Rdc-Negomo Rural Health Centre,Negomo Wardp.O.Box 110,Guruve
Guruve Rdc-Nyamhondoro Rural Health Centre,Nyamhondoro Rural Health Centrep.Bag 7503,Guruve
Guruve Rdc-Shinje Health Centre,Shinje Wardp.O.Box 11,Guruve
Guruve Rural Hospital,Box 5,Guruve
Gutu 24 Hr Clinic,Stand Number 264,Gutu
Gutu Junction Medical Centre,Stand Number 3697Gutu Junction,Gutu
Gutu Mission Hospital,Gutu Mission,Gutu
Gutu Rdc-Chepiri Clinic,Ward 16,Gutu
Gutu Rdc-Cheshuro Clinic,Nerupiri Communal Area 30,Gutu
Gutu Rdc-Chiwore Clinic,Makaure Townshipchatsworthsward 32,Gutu
Gutu Rdc-Denhere Clinic,Ward 2Chiguhune Business Centrep.Bag 908,Gutu
Gutu Rdc-Dewure Clinic,Ward 21P.Bag 908,Gutu
Gutu Rdc-Magmbedze Chivave Clinic,Magombedze Business Centrep.Bag 908,Gutu
Gutu Rdc-Magombedze Clinic,Ward 22Magombedze Business Centrep.Bag 908,Gutu
Gutu Rdc-Mazuru Clinic,Ward 13Mazuru Business Centrep.Bag 908,Gutu
Gutu Rdc-Munyikwa Clinic,Ward 15Chingai Business Centrep.Bag 908,Gutu
Gutu Rdc-Tirizi Clinic,Ward 20P.Bag 908,Gutu
Gutu Rdc-Zinhata Clinic,Dewure Small Scale Farming Areaward 18P.Bag 908,Gutu
Gutu Surgery,280Mupandawana,Gutu
Gwanda Dental,Shop 171St Floor Nssa Complex,Gwanda
Gwanda Medical Centre,8997Spitzkop Shopping Centre,Gwanda
Gwanda Private Lab,Shop 1Sudan Streetnssa Complex,Gwanda
Gwanda Rdc-Buvuma Rhc,Ward 18,Gwanda
Gwanda Rdc-Gungwe Rural Health Center,Stand 840Jahunja Township,Gwanda
Gwanda Rdc-Kafusi Rhc,Ward 16,Gwanda
Gwanda Rdc-Makwe Rural Health Center,Makwe Rural Health Centerp.Bag 5933,Gwanda
Gwanda Rdc-Mapate Rhc,Ward 16,Gwanda
Gwanda Rdc-Mashaba Rhc,Ward 19,Gwanda
Gwanda Rdc-Mzimuni Rhc,Ward 3,Gwanda
Gwanda Rdc-Nhwali Rural Health Center,Box 39Nhwali,Gwanda
Gwanda Rdc-Ntalale Rhc,Ward 11,Gwanda
Gwanda Rdc-Phakama Polyclinic,Phakama Polycliniccorner Big Ben And Ring Road,Gwanda
Gwanda Rdc-Selonga Rhc,Ward 15,Gwanda
Gwanda Rdc-Sengezane Rhc,Ward 14,Gwanda
Gwanda Rdc-Simbumbumbu Rural Health Center,Box 102,Gwanda
Gwanda State University Clinic,Epoch Mine Campus Filabusi,Gwanda
Gwede Madzivanyika Care Clinic,105A Nelson Mandela,Harare
Gweru Adventist Health Practice,9247Th Street Windsor Avenue,Gweru
Gweru Adventist Health Practice,"924, 7Th Street",Gweru
Gweru Provincial Hospital,Gweru Provincial Hospital135 Shurugwi Road,Gweru
Gweru Specialist Childrens Hospital,74 - 9Th Street,Gweru
Gweru Specialist Children'S Hospital,749Th Street,Gweru
Gweru'S Elite Phamacy,Shop 3 Desson Building28,Gweru
Gweshe Pharmacy,Cl160Chirau Buildinggweshe Business Centre,Glendale
Gynae Care Centre,Along J. Moyo Street Between 1St And 2Nd Avenue,Bulawayo
Gyncare Clinic Kadoma,7 Milton Road,Kadoma
Gzu-Law School,1Hofmeyer,Masvingo
Gzu-Mashava Medical Centre,Gaths Mine Townshipmashava Campusmashava,Masvingo
Gzu-Mucheke Medical Centre,1104 &1105Mucheke,Masvingo
Habern Park Clinic,Along Musungwe Road,Gweru
Hac Medical- Ambulance Unit,30 Sandringham Drive Alexandra Park,Harare
Haematology Centre - Dr Manyanga,26 Blakistone Street Avenue,Harare
Haematology Lab,41 Haylet House9Th Avenue,Bulawayo
Hallmark Emergency Rescue Service,1053New Cerny Parkushewekunze,Harare
Halsteds Medical-Air Ambulance Unit,Hangar 1Robert Mugabe International Airport,Harare
Hammarskjold Makhuza Surgery,8Elseworth Roadalexandra Park,Harare
Happy Hearts Pharmacy- Karoi,12 Fred Jameson Street,Karoi
Happy Smiles Dental Surgery,1596 Chiwaridzo Shopping Centre,Bindura
Happy Veins Healthcare Laboratory,40 Samora Machel Avenue,Harare
Harare 24 Clinic - Selcouth Medical,20071 Corner 8Th Street & R. Makoni Street,Harare
Harare Family Chiropractor,131 Enterprise Roadhighlands,Harare
Harare Haemodialysis Centre,18 Cork Roadbelgravia,Harare
Harare Institute Of Technology Clinic,"Stand Number 15015 Ganges Road, Belvedere",Harare
Harare Main Post Office Industrial Clinic,Cnr Innez Terrace & George Silundika,Harare
Harare Oncology Centre / Cancer Care,195 Josiah Tongogara Avenue,Harare
Harare Oncology Pharmacy,16 Josiah Tongogara Avenue,Harare
Harare Orthopaedics Clinics,7 Baines Ave 6,Harare
Harare Pharmacy,132 Hebert Chitepo Avenue,Harare
Harare Polytechnic,Cnr Herbert Chitepo & Prince Edward,Harare
Harare Rdc-Insiza Rural Health Centre,Insiza Rural Health Centrep.O.Box 31,Filabusi
Harvest Medical Pharmacy,6B Baker Street,Kadoma
Harvey Brown Dental Surgery,54 Harvey Brown Avemilton Park,Harare
Harvey Brown Pharmacy,50 Harvey Brown Avenue Milton Park,Harare
Harvey Brown Specialist Centre,50 Harvey Brown Avenuemilton Park,Harare
Hashtag Bulawayo Pharmacy,54 H. Chitepo Between 3Rd & 4Th Avenue,Bulawayo
Hatcliff Extension Clinic,Stand 11798Hatcliffe Extension,Harare
Hatcliffe Extension Clinic,Stand 11798,Harare
Hatcliffe Medical Centre,7454Th Streethatcliff,Harare
Hatcliffe Pharmacy,1008 Hatcliffe Shops,Harare
Hatfield Medical Centre,"53 Arlington Road, Shop 1 Logan Parkhatfield",Harare
Hatfield Pharmacy,150 St Patricks Roadhatfield,Harare
Hauna Dental Clinic,157Hauna Growth Point,Honde Valley
Hauna District Hospital Laboratory,Phase 1Hauna Growth Pointhonde Valley,Honde Valley
Hauna Family Clinic,151Masamvu Complex,Mutare
Hazrod Pharmacy - Budiriro,13299 Ngungunyana Shopping Centrebudiriro,Harare
Hb Clinical Laboratories,Stanbic Building Cnr 8Th Avenue And Jmn Nkomo Street,Bulawayo
Headlands Zimsmart Villages Telehealth Kiosk,Headlands Post Office,Nyazura
Heal Plus Pharmacy,9553 Tsamviringa Road Mufakose,Harare
Healing Family Clinic,Chakohwa Primary School,Mutare
Healing Hands Physiotherapy Clinic,Number 8 Hellet Street,Masvingo
Healing Hands Physiotherapy Clinic,1001 R Mugabe Way,Masvingo
Healing Touch Physiotherapy Clinic,19709 Unit N Seke,Chitungwiza
Healing Touch Physiotherapy Clinic,31595 Makoni Shopping Centre,Chitungwiza
Healnest Pharmacy,Stand 3058 Cherutombo,Marondera
Healnest Pharmacy-Marondera,3Oak Streetmarondera Cbd,Marondera
Healsoft Pharmacy,"378 Stortford Parade, Mabelreign Shops",Harare
Healsoft Pharmacy,356 Mopane Road,Chiredzi
Health & Wellness Hub,"Number 33, 6Th Street",Gweru
Health @ 42 Surgery,42 Kew Drivenewlands,Harare
Health 101 Pharmacy,Stand Number 995Main Street Machipisa Shops,Harare
Health 24 Emergency Ambulance Services,190 Masotsha Ndlovu Waywaterfalls,Harare
Health 24Hr Medical Centre,190 Masotsha Ndlovu Way,Harare
Health And Wellness Surgery,336Th Street,Gweru
Health Box Pharmacy,3784 Runyaro Rd,Ruwa
Health Care Centre,13Moonlight House5Th Street,Gweru
Health Care Surgery,Stand 2425Th Avenue,Chipinge
Health Direct Clinic,Number 11215Corner Highglen Road And Main Street,Harare
Health Direct Pharmacy,123 Chinhoyi Street,Harare
Health Direct Pharmacy,"Mashwede Complex, Stand 11215 Highglen Roadcnr Main Streethighfield",Harare
Health Direct Pharmacy Chitubu,855 Chitubu Glen Norah A,Harare
Health Expo Consultants,604Th Street,Mutare
Health First Family Clinic,4 Carlisle Drive,Harare
Health First Medical Centre,Stand Number 3077Aturf Village,Ngezi
Health First Medical Surgery - Ngezi,Stand No. 5492Turf,Mhondoro Ngezi
Health First Surgery 3,Stand 90Turf Township,Ngezi
Health Gate Mutare Pharmacy,60 A Second Street,Mutare
Health Gate Pharmacy,"47C, Olympia House, Elm Street",Marondera
Health Gorge Pharmacy,3485 Nyamhunga,Kariba
Health Guard Pharmacy,1376 Mazowe,Mazowe
Health Haven Pharmacy,36-4Th Street Cat Stanley House Medical Centre,Kwekwe
Health Haven Pharmacy-Kwekwe,Shop 1Rockodox Complex7614,Kwekwe
Health Haven Surgery,7 Warwick Street,Kadoma
Health Haven Surgery,Shop 6 Day And Night Complex,Kadoma
Health Hub Pharmacy,4757Glen View 3 Shopping Centreglen View,Harare
Health Imaging Innovators T/A Azanza,60 Baines Avenuemedical Chambers,Harare
Health Link Pharmacy,3101 Chigovanyika Shopsst Mary'S,Chitungwiza
Health Link Pharmacy-Dema,1551Dema Growth Point,Chitungwiza
Health Paradise Pharmacy,Shop 6Pta House19 Kwame Nkrumah Avenue,Harare
Health Paradise Pharmacy-Mabvuku,"Shop 6, 19341 Mabvuku",Harare
Health Partner Pharmacy,241366 Julius Nyerere Way,Harare
